https://www.instagram.com/p/DRSmMhODnJ2
Colleen Hoover says the legal battle between Justin Baldoni and Blake Lively has tainted how she feels about her novel, 'It Ends With Us.'
"I can't even recommend it anymore. I feel like [the lawsuit] has overshadowed it," the author tells ELLE magazine. "I'm almost embarrassed to say I wrote it."
"When people ask what I do, I'm just like, 'I'm a writer. Please don't ask me what I wrote.'"
Colleen will be deposed for the case in a few weeks and says that Blake and Justin's ongoing conflict "feels like a circus" and is "all-around sad."
"This actually truly has impacted some of the actors' careers in huge ways... I'm just trying to stay removed from the negativity. I have my own story I could tell … but I don't want to bring attention to it, and I don't want to have to put someone else down to lift myself up."
"bit_flags","child_comment_count","comment_index","comment_like_count","content_type","created_at","created_at_for_fb_app","created_at_utc","did_report_as_spam","has_disliked_comment","has_liked_comment","has_more_head_child_comments","has_more_tail_child_comments","has_translation","inline_composer_display_condition","is_covered","is_ranked_comment","media_id","num_head_child_comments","pk","private_reply_status","share_enabled","status","strong_id__","text","type","user/fbid_v2","user/full_name","user/id","user/is_mentionable","user/is_private","user/is_verified","user/latest_reel_media","user/pk","user/pk_id","user/profile_pic_id","user/profile_pic_url","user/strong_id__","user/username","user_id"
"0","12","0","4255","comment","1763668467","1763668467","1763668467","false","false","false","true","false",,"never","false","true","3770243824132977270","12","17867997072474593","0","true","Active","17867997072474593","💐 You earned it.  You chose Blake","0","17841411873480406","Pennie","11923251782","true","true","false",,"11923251782","11923251782","3551886376338791559_11923251782","https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/474805116_1800170000740770_2931413178472340751_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QEw0f8JuDN1JgJe3SozE7xVwy0EOuVVq2yZ-pS7_akX_3m4wrSY75fooeWlgtKmnIU&_nc_ohc=yrek6vcCUcMQ7kNvwGWd86V&_nc_gid=aF-e22L1drmb03E7x8OBIw&edm=AId3EpQBAAAA&ccb=7-5&oh=00_Afi9w58pI0_k2QlwlL6ukGQC_xfFXgXx4mvFYt1mWfFzmw&oe=692870CA&_nc_sid=f5838a","11923251782","lavender.scholar.79","11923251782"
"0","14","1","4890","comment","1763668571","1763668571","1763668571","false","false","false","true","false",,"never","false","true","3770243824132977270","14","18077749489905117","0","true","Active","18077749489905117","Blake lively was the worst choice for lily anyways. I LOVED those books. I was so excited for the movie. Blake ruined it entirely. I liked Justin tho","0","17841401137750270","Cassandra West","17317925","true","true","false",,"17317925","17317925","3643968922534034309_17317925","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/502348967_18507384853037926_7523265715909522752_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QEw0f8JuDN1JgJe3SozE7xVwy0EOuVVq2yZ-pS7_akX_3m4wrSY75fooeWlgtKmnIU&_nc_ohc=g4QhIS5edl0Q7kNvwEuAVO0&_nc_gid=aF-e22L1drmb03E7x8OBIw&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfiPgO_gZibrwIcDnRQeKqCBf8ELhGDQVhq5DKgoc9m0PA&oe=69285FCA&_nc_sid=f5838a","17317925","cass_andra_renee","17317925"
"0","9","2","2131","comment","1763669398","1763669398","1763669398","false","false","false","true","false",,"never","false","true","3770243824132977270","9","18134630221471727","0","true","Active","18134630221471727","I still can't help but wonder what this movie would have been like if Justin had directed it solo, his previous works show how good he is at giving life to such delicate stories","0","17841403337725003","Nisabel Benza","3240031257","true","true","false",,"3240031257","3240031257","3538185039268395886_3240031257","https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/471931323_4028895214097691_4202918141933668203_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NjAuYzIifQ&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QEw0f8JuDN1JgJe3SozE7xVwy0EOuVVq2yZ-pS7_akX_3m4wrSY75fooeWlgtKmnIU&_nc_ohc=f21BCTh78CYQ7kNvwEr01XF&_nc_gid=aF-e22L1drmb03E7x8OBIw&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfivCr5jlMqxlZhba4bzPPCK_E1JgTQP3rIe2Z-s2v3Yzg&oe=69287D15&_nc_sid=f5838a","3240031257","nisabel_b","3240031257"
"0","2","3","1078","comment","1763669792","1763669792","1763669792","false","false","false","true","false",,"never","false","true","3770243824132977270","2","18098001163699239","0","true","Active","18098001163699239","Her lack of loyalty is the only thing that she should regret .  Justin was the one that push for the movie to be make and ultimately the one that make people more interested in the book but she turned her  back on him.","0","17841400723003107","JoJo};{","198872100","true","true","false",,"198872100","198872100","2664062064568219632_198872100","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/242030752_374282637734788_5442329162294719128_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QEw0f8JuDN1JgJe3SozE7xVwy0EOuVVq2yZ-pS7_akX_3m4wrSY75fooeWlgtKmnIU&_nc_ohc=qXklqVo-kLAQ7kNvwFQTu0i&_nc_gid=aF-e22L1drmb03E7x8OBIw&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfjjcsWBNBMsp0VdDav45jv93TLfnnF0FzXlUJFnfqiDCg&oe=69285E88&_nc_sid=f5838a","198872100","zimply_jojo","198872100"
"0","1","4","637","comment","1763669454","1763669454","1763669454","false","false","false","true","false",,"never","false","true","3770243824132977270","1","18075056122985441","0","true","Active","18075056122985441","She helped create few mess.  Hope she realizes that.","0","17841401095772619","Heather Lyn","1447652525","false","true","false",,"1447652525","1447652525","3767368916436658970_1447652525","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/584368064_18548554891036526_6498583519645099797_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QEw0f8JuDN1JgJe3SozE7xVwy0EOuVVq2yZ-pS7_akX_3m4wrSY75fooeWlgtKmnIU&_nc_ohc=rDhTfqDdy-cQ7kNvwGLbHxD&_nc_gid=aF-e22L1drmb03E7x8OBIw&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfgrqgQdIyqKRngWd3cMH84R6VgJQZ3JjC3jjbHe_0L3lg&oe=692871BB&_nc_sid=f5838a","1447652525","hlr1004","1447652525"
"0","2","5","163","comment","1763668892","1763668892","1763668892","false","false","false","true","false",,"never","false","true","3770243824132977270","2","18064075349422568","0","true","Active","18064075349422568","The book was great. The movie was okay. Totally left out parts or changed them. Still one of my favorite books by her.","0","17841423157256068","Stephanie Berens","23168547908","true","true","false",,"23168547908","23168547908","3734508704092750211_23168547908","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/558961036_18094484041771909_7777206129803253382_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QEw0f8JuDN1JgJe3SozE7xVwy0EOuVVq2yZ-pS7_akX_3m4wrSY75fooeWlgtKmnIU&_nc_ohc=NYMc6UDeJgMQ7kNvwEQvY1F&_nc_gid=aF-e22L1drmb03E7x8OBIw&edm=AId3EpQBAAAA&ccb=7-5&oh=00_Afgpv2Ew43inrRbxE_sWWgAU8Iaqy1Eg4fAwooh3CL21OA&oe=69286978&_nc_sid=f5838a","23168547908","jerzgirl93","23168547908"
"0","21","6","1200","comment","1763668575","1763668575","1763668575","false","false","false","true","false",,"never","false","true","3770243824132977270","21","17991644366855215","0","true","Active","17991644366855215","The only thing shameful is her supporting Blake in this. Hopefully Blake’s career is done.","0","17841400751946407","Lebs","1690073064","true","true","false",,"1690073064","1690073064","3664612063403453574_1690073064","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/513607582_18510970573025065_6185318839012540200_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QEw0f8JuDN1JgJe3SozE7xVwy0EOuVVq2yZ-pS7_akX_3m4wrSY75fooeWlgtKmnIU&_nc_ohc=noAsHBfUm3IQ7kNvwHeLoo2&_nc_gid=aF-e22L1drmb03E7x8OBIw&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfgplHlgQFp56MvEYy7m0GQ8ZwjeM1TTrmVMMpS7SInKig&oe=69288129&_nc_sid=f5838a","1690073064","classyladyalways","1690073064"
"0","14","7","2685","comment","1763696071","1763696071","1763696071","false","false","false","true","false",,"never","false","true","3770243824132977270","14","18071325884598310","0","true","Active","18071325884598310","Don't worry Colleen, I never recommend any of your books either","0","17841417657344377","🖤💜Labyrinth💜🖤","17555020578","true","true","false",,"17555020578","17555020578","3271093098791739423_17555020578","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/414731423_1567926270273674_5448088943083596383_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QEw0f8JuDN1JgJe3SozE7xVwy0EOuVVq2yZ-pS7_akX_3m4wrSY75fooeWlgtKmnIU&_nc_ohc=KpL-jkr0hpcQ7kNvwHmbwOn&_nc_gid=aF-e22L1drmb03E7x8OBIw&edm=AId3EpQBAAAA&ccb=7-5&oh=00_Afio7T-tY2MFeY-vxTamXRoBVXhh5x-cYPKxpIvpoEGGwA&oe=692859B2&_nc_sid=f5838a","17555020578","labyrinth_1881","17555020578"
"0","2","8","154","comment","1763675558","1763675558","1763675558","false","false","false","true","false",,"never","false","true","3770243824132977270","2","17941330737086671","0","true","Active","17941330737086671","If the writer just chose some less known actors the message would have been conveyed much better. And the movie might have actually been a success.","0","17841400834712656","🦋","1450011823","true","true","false",,"1450011823","1450011823","2631599579215193902_1450011823","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/229930611_431959531273298_3124054108289418603_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QEw0f8JuDN1JgJe3SozE7xVwy0EOuVVq2yZ-pS7_akX_3m4wrSY75fooeWlgtKmnIU&_nc_ohc=OfusDc2UiHEQ7kNvwHkxEjX&_nc_gid=aF-e22L1drmb03E7x8OBIw&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfhfYY9PDXmkUdGVTQ8ga7_ukIbn_B4iN1UAVggPZ-RuuA&oe=692851D6&_nc_sid=f5838a","1450011823","kulstof_14","1450011823"
"0","0","9","174","comment","1763691473","1763691473","1763691473","false","false","false",,,,"never","false","true","3770243824132977270",,"18036496718724231","0","true","Active","18036496718724231","Lmao forgetting the lawsuit, the she herself is problematic along with the books she writes. Blaming it all on actors is wild","0","17841455930033328","susiii","56026624334","true","true","false",,"56026624334","56026624334","3771546719399174546_56026624334","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/587821099_17987541104864335_438609258534358382_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QEw0f8JuDN1JgJe3SozE7xVwy0EOuVVq2yZ-pS7_akX_3m4wrSY75fooeWlgtKmnIU&_nc_ohc=Hb530k7Xc4YQ7kNvwHl2O9M&_nc_gid=aF-e22L1drmb03E7x8OBIw&edm=AId3EpQBAAAA&ccb=7-5&oh=00_Afj2COhfWQyuzgyTKFkw3iRy67iBXWCYMEPm90QaQUgvGg&oe=6928635D&_nc_sid=f5838a","56026624334","kaleshiiiaurat","56026624334"
